representation,factor,n,n_classes,chance,balanced_acc,balanced_acc_sd,macro_auc,null_mean,null_p95,p_value
handcrafted,modality (no PD),4067,4,0.25,0.723025604255566,0.012136643074278489,0.8842441499915105,0.251184223121776,0.26673028973784824,0.0
handcrafted,orientation,4167,9,0.1111111111111111,0.8687243331114662,0.04259686044589498,0.9736390801022435,0.11376836433352777,0.14769090149441857,0.0
handcrafted,voxel spacing,4167,3,0.3333333333333333,0.9480165558199765,0.006400346907532898,0.9897248267913067,0.33501555510634917,0.35382338539132363,0.0
handcrafted,template space,4167,4,0.25,0.9468821127650889,0.004490681270950103,0.9865602349186663,0.2537837700836788,0.27186368365399316,0.0
handcrafted,intensity scale,4167,3,0.3333333333333333,0.8536847625531679,0.016467640594726086,0.957267234589496,0.33510652862784357,0.34723827124455703,0.0
handcrafted,bias field,4167,3,0.3333333333333333,0.8579304619138689,0.006194165638933881,0.9631020559202597,0.33582714413610204,0.35043929098748683,0.0
handcrafted,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9056180895377898,0.008297291847976652,0.98231902815921,0.3345216932527343,0.3482232955174603,0.0
handcrafted,site (IXI only),300,3,0.3333333333333333,0.9193827160493827,0.03928875357653799,0.9687105119825706,0.33283812584276007,0.4135893248837645,0.0
handcrafted,dataset,4167,17,0.058823529411764705,0.9177832065430908,0.006983796603427416,0.9908488670863084,0.06050329564514192,0.06840428207340625,0.0
untrained,modality (no PD),4067,4,0.25,0.8824595654740236,0.010803669513639796,0.9756546168043816,0.2518282663370628,0.26809882547528724,0.0
untrained,orientation,4167,9,0.1111111111111111,0.875367163321555,0.04325991283244039,0.990678838537474,0.11155718816775986,0.12823637144014796,0.0
untrained,voxel spacing,4167,3,0.3333333333333333,0.8961095036942222,0.015427820212542034,0.9796708566312612,0.3352265514523611,0.3588088430290408,0.0
untrained,template space,4167,4,0.25,0.9636248759364328,0.008507324483515329,0.9943234033607112,0.2510612630210032,0.2701993898936564,0.0
untrained,intensity scale,4167,3,0.3333333333333333,0.7540162039849119,0.01044459922610395,0.897271436984559,0.3360825276710267,0.3487147493717744,0.0
untrained,bias field,4167,3,0.3333333333333333,0.9179238227626303,0.00845663352510818,0.9827140532951585,0.33480912160921344,0.3465895309988249,0.0
untrained,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9653662337265262,0.005775009784537075,0.9966181860216893,0.33357361524684814,0.3479619768743449,0.0
untrained,site (IXI only),300,3,0.3333333333333333,0.9903703703703702,0.011909581622824815,0.9992011316872429,0.3329686846906068,0.3805136165553204,0.0
untrained,dataset,4167,17,0.058823529411764705,0.941572460820332,0.005943786351824933,0.9954299932241887,0.06001139300301806,0.06840584097328704,0.0
medical,modality (no PD),4067,4,0.25,0.8674190135559273,0.018458532615623604,0.9714307610581983,0.25079088346229617,0.26623636213010954,0.0
medical,orientation,4167,9,0.1111111111111111,0.8650095081128506,0.03133219199085204,0.9712657842643683,0.1123059703463878,0.12692519131386037,0.0
medical,voxel spacing,4167,3,0.3333333333333333,0.8855601749967418,0.019018453277272487,0.9810931996923798,0.33313679161610893,0.35231670212593824,0.0
medical,template space,4167,4,0.25,0.9668831178635862,0.009180449076638147,0.9938205105275209,0.2509583373472677,0.2662666313217221,0.0
medical,intensity scale,4167,3,0.3333333333333333,0.7576944435419924,0.010040197839525951,0.9025786750531127,0.3362023818603872,0.35163878660000314,0.0
medical,bias field,4167,3,0.3333333333333333,0.9149690705104485,0.008378799422496057,0.9811999917732575,0.3336853721702667,0.3479955480632754,0.0
medical,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9820833027301227,0.0042410859407223875,0.9992846312818,0.33442205049492385,0.3501555311087876,0.0
medical,site (IXI only),300,3,0.3333333333333333,0.9874074074074073,0.01546712075394154,0.999824074074074,0.3347784396893887,0.40098284410880713,0.0
medical,dataset,4167,17,0.058823529411764705,0.9386755519629901,0.006476562698097678,0.9955950635722872,0.059842694790084125,0.06869341537505327,0.0
selfsup,modality (no PD),4067,4,0.25,0.8280443124495304,0.018976883102477145,0.9518841101764765,0.25097090775057124,0.2684422978735298,0.0
selfsup,orientation,4167,9,0.1111111111111111,0.8182722904286684,0.040178287158334394,0.974876059623557,0.11361923868708783,0.13358163065117556,0.0
selfsup,voxel spacing,4167,3,0.3333333333333333,0.8699338894175013,0.017584630514178475,0.9662220791519083,0.33443029684529896,0.3575431511286686,0.0
selfsup,template space,4167,4,0.25,0.9573972860281849,0.006466077482562998,0.9921633749941027,0.2522496054573547,0.26943816397833,0.0
selfsup,intensity scale,4167,3,0.3333333333333333,0.712340317050605,0.017466921557698335,0.8667016335010164,0.3343250543948875,0.3501114722734407,0.0
selfsup,bias field,4167,3,0.3333333333333333,0.9038475664611486,0.013628678871775214,0.97396258432329,0.33236844531427784,0.34514412044528603,0.0
selfsup,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9466478549106937,0.005892190798868851,0.9910759628597992,0.33345074210355286,0.3473177098810152,0.0
selfsup,site (IXI only),300,3,0.3333333333333333,0.981111111111111,0.02177744183834284,0.9958909465020577,0.33383900740538874,0.39632690270291243,0.0
selfsup,dataset,4167,17,0.058823529411764705,0.9136356381629228,0.010297751828649896,0.9913391689600066,0.05976301985801128,0.06640912812277121,0.0
